item,week_ending,category,units_of_measure,beginning_units,unit_purchases_1,unit_purchases_2,unit_purchases_3,unit_purchases_4,total_purchased,on_hand_counts,ending_units,unit_cost,ending_value_usd,usage_units,Unnamed: 13
French Bread 32 ct,01/03/2017,Bread 4311,ea,560.00,992.0,0,0,0,992.0,0,642.00,0.45,285.88,910.0000,285.8826
Wheat,01/03/2017,Bread 4311,ea,52.00,64.0,0,0,0,64.0,0,60.00,1.46,87.64,56.0000,87.636
Equal Sugar Substitute,01/03/2017,Food 4312,Case 2000,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Avo Fresco,01/03/2017,Food 4312,Case,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Capicola,01/03/2017,Food 4312,lb,32.50,37.15,0,0,0,37.15,0,40.25,3.29,132.43,29.4000,132.4346
Salami,01/03/2017,Food 4312,lb,42.00,37.3,0,0,0,37.3,0,49.50,2.88,142.68,29.8000,142.6788
Ham,01/03/2017,Food 4312,lb,92.50,124.45,0,0,0,124.45,0,133.50,2.21,294.94,83.4500,294.9416
Turkey,01/03/2017,Food 4312,lb,156.00,108.5,0,0,0,108.5,0,143.50,2.86,409.84,121.0000,409.83599999999996
Beef,01/03/2017,Food 4312,lb,58.00,58.65,0,0,0,58.65,0,71.00,4.02,285.76,45.6500,285.7608
Bacon,01/03/2017,Food 4312,ea,"1,642.00",600.0,0,0,0,600.0,0,"1,039.00",0.19,200.84,"1,203.0000",200.8387
Cheese,01/03/2017,Food 4312,lb,92.00,104.08,0,0,0,104.08,0,96.00,2.17,208.03,100.0800,208.03200000000004
Mayonnaise,01/03/2017,Food 4312,gal mayo,50.25,8.0,0,0,0,8.0,0,48.00,8.04,385.92,10.2500,385.9248
Oil,01/03/2017,Food 4312,gal oil,14.00,0.0,0,0,0,0.0,0,12.75,8.37,106.73,1.2500,106.72519999999999
Vinegar,01/03/2017,Food 4312,gal vinegar,11.25,4.0,0,0,0,4.0,0,14.25,4.14,59.03,1.0000,59.0264
Avocado,01/03/2017,Food 4312,avo can,16.00,12.0,0,0,0,12.0,0,19.60,3.21,62.92,8.4000,62.916
