item,week_ending,category,units_of_measure,beginning_units,unit_purchases_1,unit_purchases_2,unit_purchases_3,unit_purchases_4,total_purchased,on_hand_counts,ending_units,unit_cost,ending_value_usd,usage_units,Unnamed: 13
French Bread 32 ct,01/01/2019,Bread 4311,ea,978.00,640.0,0,0,0,640.0,0,681.00,0.44,299.44,937.0000,299.4357
Wheat Sub -  9 Grain Roll,01/01/2019,Bread 4311,ea,118.00,64.0,0,0,0,64.0,0,88.00,0.57,49.94,94.0000,49.94
Wheat,01/01/2019,Bread 4311,ea,36.00,32.0,0,0,0,32.0,0,37.00,1.45,53.49,31.0000,53.4872
Buttermilk (0.5 gal),01/01/2019,Food 4312,Quart,0.00,0.0,0,0,0,0.0,0,0.00,1.60,0.00,0.0000,0.0
Buttermilk (0.5 gal),01/01/2019,Food 4312,0.5 gal,0.00,0.0,0,0,0,0.0,0,0.00,4.29,0.00,0.0000,0.0
Equal Sugar Substitute,01/01/2019,Food 4312,Case 2000,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Kickin Ranch Dressing Mix,01/01/2019,Food 4312,Container 3.2oz,11.00,0.0,0,0,0,0.0,0,9.00,1.42,12.74,2.0000,12.7404
Pepper Jalapeno Slices,01/01/2019,Food 4312,gal,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Ranch portioned  ,01/01/2019,Food 4312,Cup,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Ranch prepped ,01/01/2019,Food 4312,gal,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
SPICE GARLIC SALT W/PARSLEY  ,01/01/2019,Food 4312,ea,1.15,0.0,0,0,0,0.0,0,1.10,8.35,9.19,0.0500,9.184999999999999
Avo Fresco,01/01/2019,Food 4312,Case,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Capicola,01/01/2019,Food 4312,lb,33.37,0.0,0,0,0,0.0,0,6.00,3.25,19.49,27.3700,19.494
Salami,01/01/2019,Food 4312,lb,35.87,36.05,0,0,0,36.05,0,37.00,2.97,109.93,34.9200,109.927
Ham,01/01/2019,Food 4312,lb,74.75,86.0,0,0,0,86.0,0,86.50,1.97,170.66,74.2500,170.6645
Turkey,01/01/2019,Food 4312,lb,133.00,110.45,0,0,0,110.45,0,141.50,2.85,403.70,101.9500,403.6995
Beef,01/01/2019,Food 4312,lb,47.72,65.2,0,0,0,65.2,0,62.50,3.99,249.31,50.4200,249.3125
