week_ending_date,Sales Item,Revenue_USD,Quantity Sold,Wed - 1,Wed - 2,Thu - 3,Thu - 4,Fri - 5,Fri - 6,Sat - 7,Sat - 8,Sun - 9,Sun - 10,Mon - 11,Mon - 12,Tue - 13,Tue - 14
01/02/2018,IN-Sub,"2,677.25",534.0,216.75,178.25,387.25,152.00,375.25,146.50,148.25,195.25,156.25,86.00,111.75,110.50,224.50,188.75
01/02/2018,IN-Club,"3,130.00",478.0,370.50,123.50,361.00,202.50,336.50,213.00,260.00,200.00,182.00,113.00,130.00,214.50,275.50,148.00
01/02/2018,IN-Pop,851.34,441.0,119.28,44.52,108.99,32.97,126.63,68.46,65.10,50.61,56.07,13.23,35.70,32.34,60.06,37.38
01/02/2018,IN-Side,750.85,530.0,73.95,46.40,101.25,33.35,124.70,46.40,65.25,46.40,42.05,14.50,20.30,37.70,63.80,34.80
01/02/2018,DEL-Sub,"1,119.25",288.0,94.00,15.25,223.50,37.25,224.00,33.00,69.00,52.50,42.75,11.00,81.75,42.75,132.00,60.50
01/02/2018,DEL-Club,"1,226.00",184.0,106.50,54.50,102.50,74.00,188.50,35.00,87.00,70.00,113.00,26.00,52.00,67.50,182.00,67.50
01/02/2018,DEL-Pop,201.40,99.0,28.15,2.10,26.04,0.00,31.92,0.00,22.47,8.19,6.09,4.20,18.06,2.10,35.28,16.80
01/02/2018,DEL-Side,408.05,272.0,55.70,10.15,55.10,20.30,79.75,7.25,24.65,20.30,27.55,1.45,17.40,23.20,52.20,13.05
01/02/2018,Party Sub,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,Day Old Bread,2.00,4.0,0.00,0.00,0.00,0.00,0.50,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,Fresh Bread,2.00,1.0,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,Cookie,179.14,114.0,16.90,13.52,18.59,5.07,13.52,20.28,8.45,6.76,10.14,8.45,8.45,18.59,8.45,21.97
01/02/2018,Combos / Kids 1/2 off,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,Box Lunch,76.00,8.0,0.00,0.00,76.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,Platters / Mini Jimmys,567.00,10.0,350.00,0.00,0.00,0.00,70.00,0.00,82.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,Delivery Fee,609.20,274.0,63.09,16.60,85.89,27.06,110.32,16.50,39.25,30.02,37.72,9.12,36.19,27.09,78.68,31.67
01/02/2018,Other,0.00,12.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,Modifiers,335.14,2446.0,27.90,6.50,47.80,20.60,38.89,13.10,20.05,30.55,26.55,6.60,8.45,28.95,36.15,23.05
01/02/2018,Total of Above,"12,134.62",0.0,"1,524.72",511.29,"1,593.91",605.10,"1,720.48",599.49,891.47,712.08,765.17,293.55,520.05,605.22,"1,148.62",643.47
01/02/2018,- OVER-RINGS,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,= Adjusted Sales,"12,134.62",0.0,"1,524.72",511.29,"1,593.91",605.10,"1,720.48",599.49,891.47,712.08,765.17,293.55,520.05,605.22,"1,148.62",643.47
01/02/2018,- Net Employee Freebies,134.64,0.0,9.84,11.24,9.84,0.00,19.68,9.84,0.00,6.50,11.84,0.00,0.00,19.68,19.68,16.50
01/02/2018,- Net Manager Freebies,91.61,0.0,13.53,0.00,11.84,0.00,11.84,0.00,11.84,9.84,0.00,0.00,0.00,9.84,0.00,22.88
01/02/2018,- Sampling,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,- Waste,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,- Other Promo,93.55,0.0,0.00,0.00,0.00,12.90,0.00,0.00,12.30,14.45,41.90,0.00,0.00,0.00,0.00,12.00
01/02/2018,= Royalty Sales,"11,814.82",0.0,"1,501.35",500.05,"1,572.23",592.20,"1,688.96",589.65,867.33,681.29,711.43,293.55,520.05,575.70,"1,128.94",592.09
01/02/2018,+ Other Tax/Fee,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,+ Sales Tax,924.79,0.0,118.74,39.88,122.66,46.64,130.24,47.32,68.32,53.77,55.61,23.50,39.91,45.27,86.70,46.23
01/02/2018,- Over Rings Tax,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,- Freebie/Promo Tax,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,- Cash Payouts,346.05,0.0,0.00,54.82,11.33,51.66,0.00,58.77,6.20,38.42,12.39,15.43,7.90,31.45,9.75,47.93
01/02/2018,- A/R Due,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,+ A/R Paid,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,+ A/R Drivers,0.00,0.0,-16.26,16.26,-50.75,50.75,-129.02,129.02,-95.11,95.11,12.00,-12.00,-32.74,32.74,-18.31,18.31
01/02/2018,- A/R Due CC (InShop) V/MC/D,"5,417.79",0.0,430.93,284.69,691.64,330.96,825.96,337.52,458.60,315.68,379.70,186.71,192.64,302.33,496.30,184.13
01/02/2018,- A/R Due CC (InShop) Amex,260.92,0.0,0.00,39.61,24.29,10.44,9.31,17.21,0.00,32.84,0.00,0.00,30.94,17.21,29.60,49.47
01/02/2018,- A/R Due CC (MOTO) V/MC/D,973.22,0.0,58.96,28.76,230.33,35.44,163.73,10.54,151.96,50.42,86.91,0.00,18.99,73.32,30.22,33.64
01/02/2018,- A/R Due CC (MOTO) Amex,49.40,0.0,0.00,0.00,0.00,23.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.70,0.00,0.00
01/02/2018,- A/R Due CC (ONLINE) V/MC/D,"3,595.51",0.0,792.95,38.77,418.32,154.11,436.31,97.00,64.76,158.37,194.31,81.28,188.54,187.38,531.38,252.03
01/02/2018,- A/R Due CC (ONLINE) Amex,184.02,0.0,9.67,0.00,25.35,0.00,89.63,0.00,0.00,0.00,20.50,11.78,0.00,11.78,15.31,0.00
01/02/2018,- Other Payment Types,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,+ Gift Cards Issued,20.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/2018,- Gift Cards Redeemed,101.35,0.0,17.04,19.58,38.34,10.00,0.00,0.00,0.00,0.00,0.00,9.35,7.04,0.00,0.00,0.00
