item,week_ending,category,units_of_measure,beginning_units,unit_purchases_1,unit_purchases_2,unit_purchases_3,unit_purchases_4,total_purchased,on_hand_counts,ending_units,unit_cost,ending_value_usd,usage_units,Unnamed: 13
French Bread 32 ct,01/02/2018,Bread 4311,ea,608.00,832.0,0,0,0,832.0,0,577.00,0.44,254.63,863.0000,254.63010000000003
Wheat,01/02/2018,Bread 4311,ea,56.00,32.0,0,0,0,32.0,0,36.00,1.45,52.09,52.0000,52.0884
Equal Sugar Substitute,01/02/2018,Food 4312,Case 2000,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Pepper Jalapeno Slices,01/02/2018,Food 4312,gal,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Avo Fresco,01/02/2018,Food 4312,Case,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Capicola,01/02/2018,Food 4312,lb,34.12,39.85,0,0,0,39.85,0,45.87,3.12,143.04,28.1000,143.0364
Salami,01/02/2018,Food 4312,lb,53.12,37.7,0,0,0,37.7,0,56.62,3.02,171.15,34.2000,171.1453
Ham,01/02/2018,Food 4312,lb,82.25,86.0,0,0,0,86.0,0,80.50,2.10,168.71,87.7500,168.7119
Turkey,01/02/2018,Food 4312,lb,164.00,110.55,0,0,0,110.55,0,129.00,2.80,361.20,145.5500,361.2
Beef,01/02/2018,Food 4312,lb,60.75,62.7,0,0,0,62.7,0,81.25,3.89,316.31,42.2000,316.3063
Bacon,01/02/2018,Food 4312,ea,0.00,0.0,0,0,0,0.0,0,0.00,0.20,0.00,0.0000,0.0
BACON - SLI APPLWD SMKD CKD,01/02/2018,Food 4312,ea,"1,284.00",600.0,0,0,0,600.0,0,"1,172.00",0.21,245.65,712.0000,245.6512
Cheese,01/02/2018,Food 4312,lb,83.50,107.04,0,0,0,107.04,0,98.75,2.29,225.77,91.7900,225.7721
Mayonnaise,01/02/2018,Food 4312,gal mayo,41.00,12.0,0,0,0,12.0,0,45.00,8.16,367.19,8.0000,367.191
Oil,01/02/2018,Food 4312,gal oil,15.00,0.0,0,0,0,0.0,0,14.00,9.92,138.89,1.0000,138.8898
Vinegar,01/02/2018,Food 4312,gal vinegar,11.50,0.0,0,0,0,0.0,0,10.50,3.89,40.84,1.0000,40.8398
Avocado,01/02/2018,Food 4312,avo can,10.00,12.0,0,0,0,12.0,0,13.00,3.21,41.73,9.0000,41.73
Peppers Cherry,01/02/2018,Food 4312,Gal Peppers,22.00,4.0,0,0,0,4.0,0,23.00,7.01,161.12,3.0000,161.115
Mustard Dijon,01/02/2018,Food 4312,jar dijon,8.50,0.0,0,0,0,0.0,0,7.50,5.24,39.29,1.0000,39.2895
