week_ending_date,Sales Item,Revenue_USD,Quantity Sold,Wed - 1,Wed - 2,Thu - 3,Thu - 4,Fri - 5,Fri - 6,Sat - 7,Sat - 8,Sun - 9,Sun - 10,Mon - 11,Mon - 12,Tue - 13,Tue - 14
01/06/2015,IN-Sub,"2,515.25",551.0,222.25,101.50,147.00,110.00,182.00,130.00,176.00,173.50,269.25,129.75,244.25,199.25,229.50,201.00
01/06/2015,IN-Club,"3,382.25",575.0,278.25,115.00,138.25,163.00,274.50,232.00,293.75,282.00,322.25,207.00,207.00,276.50,308.75,284.00
01/06/2015,IN-Pop,779.84,480.0,80.01,24.85,34.69,32.15,56.65,39.16,92.24,47.81,89.45,21.62,71.86,53.97,95.42,39.96
01/06/2015,IN-Side,712.80,538.0,67.50,36.45,45.90,36.45,47.25,27.00,76.95,48.60,82.35,22.95,56.70,44.55,68.85,51.30
01/06/2015,DEL-Sub,"1,303.50",282.0,173.50,23.75,70.25,28.50,109.25,65.25,222.00,75.00,38.00,88.25,127.25,61.50,171.75,49.25
01/06/2015,DEL-Club,"1,314.50",222.0,149.75,36.50,38.50,59.50,122.75,44.25,337.50,124.75,11.50,19.25,115.00,48.00,149.50,57.75
01/06/2015,DEL-Pop,192.55,113.0,34.10,5.17,10.34,1.79,14.18,12.13,10.04,16.90,8.75,5.08,19.09,5.17,41.16,8.65
01/06/2015,DEL-Side,318.60,236.0,63.45,2.70,24.30,16.20,28.35,20.25,24.30,25.65,8.10,10.80,29.70,6.75,47.25,10.80
01/06/2015,Party Sub,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/06/2015,Day Old Bread,17.00,34.0,5.50,4.00,0.00,0.00,1.50,0.00,2.00,1.00,0.00,1.00,0.50,1.50,0.00,0.00
01/06/2015,Fresh Bread,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/06/2015,Cookie,178.50,119.0,13.50,7.50,6.00,10.50,9.00,13.50,15.00,18.00,12.00,19.50,10.50,15.00,16.50,12.00
01/06/2015,Kids 1/2 off,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/06/2015,Box Lunch,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/06/2015,Platters,49.99,1.0,0.00,49.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/06/2015,Delivery Fee,397.07,270.0,61.11,9.20,20.19,12.94,33.19,19.17,63.52,32.65,8.80,15.23,37.41,14.13,53.62,15.91
01/06/2015,Other,0.00,14.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
