item,week_ending,category,units_of_measure,beginning_units,unit_purchases_1,unit_purchases_2,unit_purchases_3,unit_purchases_4,total_purchased,on_hand_counts,ending_units,unit_cost,ending_value_usd,usage_units,Unnamed: 13
French Bread 32 ct,01/07/2020,Bread 4311,ea,520.00,800.0,0.0,0,0,800.0,0,566.00,0.44,248.87,754.0000,248.8702
Wheat Sub -  9 Grain Roll,01/07/2020,Bread 4311,ea,67.00,96.0,0.0,0,0,96.0,0,87.00,0.57,49.37,76.0000,49.3725
Wheat,01/07/2020,Bread 4311,ea,33.00,32.0,0.0,0,0,32.0,0,37.00,1.45,53.49,28.0000,53.4872
Butter (salted),01/07/2020,Food 4312,1 lb Stick,0.00,0.0,0.0,0,0,0.0,0,0.00,3.03,0.00,0.0000,0.0
Buttermilk (0.5 gal),01/07/2020,Food 4312,0.5 gal,0.00,0.0,0.0,0,0,0.0,0,0.00,3.00,0.00,0.0000,0.0
Buttermilk 1Qt,01/07/2020,Food 4312,Quart,0.00,0.0,0.0,0,0,0.0,0,0.00,1.60,0.00,0.0000,0.0
Equal Sugar Substitute,01/07/2020,Food 4312,Case 2000,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Kickin Ranch Dressing Mix,01/07/2020,Food 4312,Container 3.2oz,8.00,0.0,0.0,0,0,0.0,0,7.00,1.42,9.91,1.0000,9.9092
Pepper Jalapeno Slices,01/07/2020,Food 4312,gal,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Ranch portioned  ,01/07/2020,Food 4312,Cup,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Ranch prepped ,01/07/2020,Food 4312,gal,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
SPICE GARLIC SALT W/PARSLEY  ,01/07/2020,Food 4312,ea,0.10,0.0,0.0,0,0,0.0,0,0.10,8.35,0.84,0.0000,0.835
Avo Fresco,01/07/2020,Food 4312,Case,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Capicola,01/07/2020,Food 4312,lb,27.50,39.9,0.0,0,0,39.9,0,29.25,3.12,91.29,38.1500,91.2893
Salami,01/07/2020,Food 4312,lb,40.50,37.7,0.0,0,0,37.7,0,41.25,3.13,129.10,36.9500,129.1043
Ham,01/07/2020,Food 4312,lb,37.00,130.35,0.0,0,0,130.35,0,118.50,2.46,291.04,48.8500,291.036
Turkey,01/07/2020,Food 4312,lb,74.50,138.25,0.0,0,0,138.25,0,120.50,2.87,346.32,92.2500,346.317
Beef,01/07/2020,Food 4312,lb,15.00,60.45,0.0,0,0,60.45,0,34.75,4.74,164.72,40.7000,164.715
BACON - SLI APPLWD SMKD CKD,01/07/2020,Food 4312,ea,167.00,600.0,0.0,0,0,600.0,0,300.00,0.24,71.07,467.0000,71.07
Cheese,01/07/2020,Food 4312,lb,34.00,144.35,0.0,0,0,144.35,0,51.00,2.68,136.48,127.3500,136.476
Mayonnaise,01/07/2020,Food 4312,gal mayo,41.50,8.0,0.0,0,0,8.0,0,41.50,8.16,338.64,8.0000,338.6359
Oil,01/07/2020,Food 4312,gal oil,7.25,0.0,0.0,0,0,0.0,0,7.00,9.14,63.97,0.2500,63.9653
Vinegar,01/07/2020,Food 4312,gal vinegar,6.50,4.0,0.0,0,0,4.0,0,10.00,4.08,40.78,0.5000,40.781
Avocado,01/07/2020,Food 4312,avo can,14.00,12.0,0.0,0,0,12.0,0,14.00,3.22,45.04,12.0000,45.038
Peppers Cherry,01/07/2020,Food 4312,Gal Peppers,22.50,4.0,0.0,0,0,4.0,0,24.75,7.01,173.56,1.7500,173.5594
Mustard Dijon,01/07/2020,Food 4312,jar dijon,1.50,6.0,0.0,0,0,6.0,0,6.00,5.29,31.75,1.5000,31.748400000000004
MUSTARD WHL GRAIN ,01/07/2020,Food 4312,32 oz jar,5.50,0.0,0.0,0,0,0.0,0,5.00,5.84,29.19,0.5000,29.1915
Soy Sauce,01/07/2020,Food 4312,gal soy,0.65,0.0,0.0,0,0,0.0,0,0.60,11.43,6.86,0.0500,6.858
Tuna Chunk - pouch,01/07/2020,Food 4312,Pouch tuna (48oz),12.00,0.0,0.0,0,0,0.0,0,7.50,7.69,57.64,4.5000,57.6375
Pan Spray,01/07/2020,Food 4312,ea,1.10,0.0,0.0,0,0,0.0,0,1.00,2.99,2.99,0.1000,2.9886
Oregano,01/07/2020,Food 4312,cont oregano,0.65,0.0,0.0,0,0,0.0,0,1.05,26.22,27.53,-0.4000,27.5292
Basil,01/07/2020,Food 4312,cont basil,0.65,0.0,0.0,0,0,0.0,0,1.05,6.31,6.62,-0.4000,6.6244
Sugar,01/07/2020,Food 4312,lb,27.00,0.0,0.0,0,0,0.0,0,10.00,0.68,6.83,17.0000,6.828000000000001
Mayo Packets,01/07/2020,Food 4312,Box 204,1.50,1.0,0.0,0,0,1.0,0,1.75,17.79,31.13,0.7500,31.1325
Mustard Packets,01/07/2020,Food 4312,Box 500,0.65,1.0,0.0,0,0,1.0,0,1.10,5.93,6.52,0.5500,6.5226
Sweet n Low Packets,01/07/2020,Food 4312,Case  3000,0.00,0.0,0.0,0,0,0.0,0,0.00,18.45,0.00,0.0000,0.0
Pickles,01/07/2020,Sides 4313,ea,66.00,144.0,0.0,0,0,144.0,0,13.00,0.35,4.59,197.0000,4.5903
Chip JJ Reg ,01/07/2020,Sides 4313,ea,232.00,120.0,0.0,0,0,120.0,0,219.00,0.35,76.43,133.0000,76.431
Chip JJ BBQ ,01/07/2020,Sides 4313,ea,210.00,180.0,0.0,0,0,180.0,0,146.00,0.35,51.17,244.0000,51.173
Chip JJ Jalapeno ,01/07/2020,Sides 4313,ea,176.00,180.0,0.0,0,0,180.0,0,179.00,0.35,62.69,177.0000,62.6858
Chip JJ S&V ,01/07/2020,Sides 4313,ea,166.00,120.0,0.0,0,0,120.0,0,102.00,0.35,35.76,184.0000,35.7612
Chip JJ Skinny ,01/07/2020,Sides 4313,ea,97.00,60.0,0.0,0,0,60.0,0,117.00,0.41,48.40,40.0000,48.4029
Cookie Oatmeal Raisin,01/07/2020,Sides 4313,ea,168.00,56.0,0.0,0,0,56.0,0,211.00,0.47,99.44,13.0000,99.4443
Cookie JJ Triple Choc Chip,01/07/2020,Sides 4313,ea,176.00,56.0,0.0,0,0,56.0,0,120.00,0.57,68.95,112.0000,68.952
BAG PAPER CRRYOT 8# LOGO-17-DNU,01/07/2020,Paper 4314,Box 1000,0.50,0.0,0.0,0,0,0.0,0,0.15,0.00,0.00,0.3500,0.0
CUP PLAS PRTN CLR 2 OZ  ,01/07/2020,Paper 4314,250 CT,0.00,0.0,0.0,0,0,0.0,0,0.00,6.93,0.00,0.0000,0.0
Frenchie Checkered Wrap Paper,01/07/2020,Paper 4314,1000 count,0.60,0.0,0.0,0,0,0.0,0,0.50,21.87,10.94,0.1000,10.935
Frenchie Topper (Bag Poly Sleeve),01/07/2020,Paper 4314,1 Case,0.60,0.0,0.0,0,0,0.0,0,0.50,72.44,36.22,0.1000,36.22
LID PLAS MED PRTN 2 OZ,01/07/2020,Paper 4314,125 CT,0.00,0.0,0.0,0,0,0.0,0,0.00,0.83,0.00,0.0000,0.0
Sysco Cup Foam Tall 12 oz,01/07/2020,Paper 4314,Case 1000,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Cup Plas 14oz Trans Soft - Paper Cat,01/07/2020,Paper 4314,ea,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
CUP PLAS PRTN (Translucent 2 Oz),01/07/2020,Paper 4314,200 CT,11.00,0.0,0.0,0,0,0.0,0,10.75,1.88,20.21,0.2500,20.21
CUP PLAS TRANS 12 OZ - Paper Cat,01/07/2020,Paper 4314,ea,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Cup Plas Trans Soft 12 OZ,01/07/2020,Paper 4314,50 CT,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Napkins (Case 12),01/07/2020,Paper 4314,Pack 567,6.50,0.0,0.0,0,0,0.0,0,1.50,3.05,4.58,5.0000,4.575
Napkins - Case12,01/07/2020,Paper 4314,Pack 284,0.00,0.0,0.0,0,0,0.0,0,0.00,1.45,0.00,0.0000,0.0
LID PLAS CLR F/1.5-2.5 OZ PRTN,01/07/2020,Paper 4314,100 CT,24.00,0.0,0.0,0,0,0.0,0,22.50,0.91,20.49,1.5000,20.4908
Cup 22oz JJ,01/07/2020,Paper 4314,ea,372.00,1000.0,0.0,0,0,1000.0,0,798.00,0.04,30.16,574.0000,30.1644
Lid 22oz JJ,01/07/2020,Paper 4314,ea,"1,676.00",0.0,0.0,0,0,0.0,0,"1,388.00",0.01,14.99,288.0000,14.990399999999998
Cup 30oz JJ,01/07/2020,Paper 4314,ea,590.00,0.0,0.0,0,0,0.0,0,366.00,0.06,22.33,224.0000,22.326
Lid 30oz JJ,01/07/2020,Paper 4314,ea,"1,211.00",0.0,0.0,0,0,0.0,0,"1,044.00",0.02,22.24,167.0000,22.2372
Bags 8# JJ,01/07/2020,Paper 4314,Box 1000,0.00,0.0,0.0,0,0,0.0,0,0.00,29.90,0.00,0.0000,0.0
Wrap Sandwich,01/07/2020,Paper 4314,Box 1000,4.25,0.0,0.0,0,0,0.0,0,2.50,20.12,50.29,1.7500,50.2918
8X10 Port Pap. (WRAP PAPER DRY WAX),01/07/2020,Paper 4314,Box 500,4.50,0.0,2.0,0,0,2.0,0,1.10,2.74,3.02,5.4000,3.0195
Straws,01/07/2020,Paper 4314,Box 300,0.00,0.0,0.0,0,0,0.0,0,0.00,1.40,0.00,0.0000,0.0
Straws_new (Box 300),01/07/2020,Paper 4314,Box 300,10.25,0.0,0.0,0,0,0.0,0,8.25,1.40,11.56,2.0000,11.5616
Pan Liners,01/07/2020,Paper 4314,Box 1000,0.40,0.0,0.0,0,0,0.0,0,0.10,31.76,3.18,0.3000,3.1759
Mylar (Film PVC roll),01/07/2020,Paper 4314,roll 5280,0.60,0.0,0.0,0,0,0.0,0,0.50,38.64,19.32,0.1000,19.3193
Cucumber,01/07/2020,Produce 4315,ea,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Iceburg Head ,01/07/2020,Produce 4315,24 Count,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Lettuce,01/07/2020,Produce 4315,12 Packs,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Roma Tomatoes,01/07/2020,Produce 4315,lb,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Yellow Onions,01/07/2020,Produce 4315,lb,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Lettuce,01/07/2020,Produce 4315,Head Let,38.00,216.0,0.0,0,0,216.0,0,11.00,1.33,14.60,243.0000,14.601399999999998
Tomatoes,01/07/2020,Produce 4315,lb,10.85,200.0,0.0,0,0,200.0,0,11.25,1.36,15.30,199.6000,15.3
Onions (Yellow Jumbo),01/07/2020,Produce 4315,lb,8.75,50.0,0.0,0,0,50.0,0,22.50,0.36,8.10,36.2500,8.1
Sprouts,01/07/2020,Produce 4315,lb,0.25,6.0,0.0,0,0,6.0,0,1.00,6.00,6.00,5.2500,6.0
Celery,01/07/2020,Produce 4315,stalk,8.00,6.0,0.0,0,0,6.0,0,8.00,0.90,7.21,6.0000,7.2072
Cucumbers,01/07/2020,Produce 4315,ea,6.00,25.0,0.0,0,0,25.0,0,11.50,1.04,11.96,19.5000,11.96
Syrup Coke,01/07/2020,Beverage 4316,gal,5.50,0.0,0.0,0,0,0.0,0,5.00,16.06,80.30,0.5000,80.3
Syrup Diet Coke,01/07/2020,Beverage 4316,gal,6.25,0.0,0.0,0,0,0.0,0,4.75,16.06,76.29,1.5000,76.285
Syrup Sprite,01/07/2020,Beverage 4316,gal,6.50,0.0,0.0,0,0,0.0,0,5.00,16.06,80.30,1.5000,80.2995
Syrup Lemonade Light,01/07/2020,Beverage 4316,gal,3.50,0.0,0.0,0,0,0.0,0,2.00,17.40,34.79,1.5000,34.7932
Syrup Mello Yellow,01/07/2020,Beverage 4316,gal,3.50,0.0,0.0,0,0,0.0,0,3.75,16.74,62.79,-0.2500,62.78509999999999
Syrup Dr. Pepper,01/07/2020,Beverage 4316,gal,2.75,5.0,0.0,0,0,5.0,0,4.75,16.34,77.61,3.0000,77.60930000000002
Syrup Diet Dr Pepper,01/07/2020,Beverage 4316,gal,0.00,0.0,0.0,0,0,0.0,0,2.25,13.97,31.43,-2.2500,31.4325
Syrup Cherry Coke,01/07/2020,Beverage 4316,gal,8.50,0.0,0.0,0,0,0.0,0,7.25,12.25,88.79,1.2500,88.7929
Syrup Powerade,01/07/2020,Beverage 4316,gal,2.50,0.0,0.0,0,0,0.0,0,1.75,16.01,28.03,0.7500,28.0259
Tea Bag Brew Lipton,01/07/2020,Beverage 4316,ea,22.00,0.0,0.0,0,0,0.0,0,10.00,0.95,9.51,12.0000,9.512
Water (bottle),01/07/2020,Beverage 4316,bottle,48.00,24.0,0.0,0,0,24.0,0,52.00,0.28,14.52,20.0000,14.5184
Box - Mini Jimmy 12 CT Sandwich,01/07/2020,Catering 4320,each,9.00,0.0,0.0,0,0,0.0,0,9.00,0.91,8.21,0.0000,8.2107
Box - Mini Jimmy 24 CT Sandwich,01/07/2020,Catering 4320,each,0.00,0.0,0.0,0,0,0.0,0,10.00,1.61,16.06,-10.0000,16.061
Box w/window - Jimmy 6 pk Cookie,01/07/2020,Catering 4320,each,0.00,0.0,0.0,0,0,0.0,0,0.00,0.25,0.00,0.0000,0.0
Foam Plates,01/07/2020,Catering 4320,each,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
JMYJOHN BOX LUNCH LIL’ (JJ),01/07/2020,Catering 4320,each,100.00,0.0,0.0,0,0,0.0,0,125.00,0.23,29.08,-25.0000,29.075
JMYJOHN P BOX SANDWICH CATERING 18 PC ,01/07/2020,Catering 4320,ea,17.00,0.0,0.0,0,0,0.0,0,16.00,1.41,22.60,1.0000,22.6048
JMYJOHN P BOX SANDWICH CATERING 30 PC ,01/07/2020,Catering 4320,ea,36.00,0.0,0.0,0,0,0.0,0,33.00,0.66,21.71,3.0000,21.7107
Paper Bag - Mini Jimmy Sandwich,01/07/2020,Catering 4320,Case 500,0.00,0.0,0.0,0,0,0.0,0,0.00,22.15,0.00,0.0000,0.0
Pickle Container - clear plastic w/lid & label,01/07/2020,Catering 4320,each,0.00,0.0,0.0,0,0,0.0,0,0.00,0.20,0.00,0.0000,0.0
Plastic Knives,01/07/2020,Catering 4320,Box 1000,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
JJ Lunch Box,01/07/2020,Catering 4320,ea,73.00,0.0,0.0,0,0,0.0,0,74.00,0.29,21.73,-1.0000,21.7338
"Tray Cater Cmbo 12"" w / dome lid",01/07/2020,Catering 4320,each,0.00,0.0,0.0,0,0,0.0,0,0.00,0.97,0.00,0.0000,0.0
"Tray Cater Cmbo 16"" w / dome lid",01/07/2020,Catering 4320,each,0.00,0.0,0.0,0,0,0.0,0,0.00,1.47,0.00,0.0000,0.0
Party Tray Bags,01/07/2020,Catering 4320,ea,0.00,0.0,0.0,0,0,0.0,0,0.00,0.79,0.00,0.0000,0.0
Tall Foam Cup,01/07/2020,Operating Supplies 5220,ea,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
French Bread 32 ct,01/14/2020,Bread 4311,ea,566.00,864.0,0.0,0,0,864.0,0,680.00,0.44,299.00,750.0000,298.996
Wheat Sub -  9 Grain Roll,01/14/2020,Bread 4311,ea,87.00,96.0,0.0,0,0,96.0,0,61.00,0.57,34.62,122.0000,34.6175
Wheat,01/14/2020,Bread 4311,ea,37.00,32.0,0.0,0,0,32.0,0,39.00,1.45,56.38,30.0000,56.3784
Butter (salted),01/14/2020,Food 4312,1 lb Stick,0.00,0.0,0.0,0,0,0.0,0,0.00,3.03,0.00,0.0000,0.0
Buttermilk (0.5 gal),01/14/2020,Food 4312,0.5 gal,0.00,0.0,0.0,0,0,0.0,0,0.00,3.00,0.00,0.0000,0.0
Buttermilk 1Qt,01/14/2020,Food 4312,Quart,0.00,0.0,0.0,0,0,0.0,0,0.00,1.60,0.00,0.0000,0.0
Equal Sugar Substitute,01/14/2020,Food 4312,Case 2000,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
