week_ending_date,Sales Item,Revenue_USD,Quantity Sold,Wed - 1,Wed - 2,Thu - 3,Thu - 4,Fri - 5,Fri - 6,Sat - 7,Sat - 8,Sun - 9,Sun - 10,Mon - 11,Mon - 12,Tue - 13,Tue - 14
01/07/2020,IN-Sub,"3,223.85",701.0,176.22,88.65,350.30,147.69,346.02,173.89,251.41,160.73,387.66,123.28,358.10,218.60,224.04,217.26
01/07/2020,IN-Club,"3,539.81",529.0,125.43,161.76,333.92,124.01,436.53,205.90,423.00,178.66,350.86,127.21,420.88,220.09,315.12,116.44
01/07/2020,IN-Pop,942.60,520.0,32.72,45.15,104.62,29.04,136.25,45.25,94.38,34.71,101.94,28.94,119.64,59.27,85.53,25.16
01/07/2020,IN-Side,812.28,659.0,43.86,30.16,89.68,29.54,110.81,41.46,76.29,27.58,103.38,12.10,100.80,46.13,70.33,30.16
01/07/2020,DEL-Sub,882.05,175.0,80.36,10.39,118.39,58.70,112.34,21.17,83.46,46.73,16.97,26.95,136.74,24.56,116.24,29.05
01/07/2020,DEL-Club,"1,171.14",166.0,38.34,6.39,170.75,56.92,143.18,38.34,128.04,71.12,31.36,33.96,168.15,38.34,186.73,59.52
01/07/2020,DEL-Pop,187.14,102.0,7.71,0.00,33.22,3.58,22.58,9.25,15.02,11.14,3.68,1.79,27.65,1.89,34.81,14.82
01/07/2020,DEL-Side,281.42,238.0,19.84,2.58,45.87,10.32,34.21,9.52,20.33,11.79,2.58,5.16,43.55,6.45,53.74,15.48
01/07/2020,Party Sub,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/07/2020,Day Old Bread,2.50,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00
01/07/2020,Fresh Bread,10.00,5.0,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.00,2.00,0.00
01/07/2020,Cookie,128.79,81.0,7.95,1.59,3.18,6.36,22.26,4.77,17.49,12.72,7.95,11.13,6.36,7.95,6.36,12.72
01/07/2020,Combos / Kids 1/2 off,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/07/2020,Box Lunch,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/07/2020,Platters / Mini Jimmys,230.00,4.0,29.00,0.00,0.00,0.00,0.00,0.00,53.00,0.00,148.00,0.00,0.00,0.00,0.00,0.00
01/07/2020,Delivery Fee,240.75,216.0,14.25,1.50,36.75,14.25,33.00,6.75,20.25,12.75,6.00,6.75,38.25,8.25,31.50,10.50
01/07/2020,Other,0.00,14.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/07/2020,Modifiers,331.55,3223.0,17.75,13.43,32.93,17.28,30.73,19.95,39.20,25.82,17.79,4.15,25.31,20.61,53.33,13.27
01/07/2020,Total of Above,"11,983.88",0.0,595.43,361.60,"1,319.61",497.69,"1,427.91",576.25,"1,221.87",593.75,"1,178.17",381.42,"1,449.43",656.64,"1,179.73",544.38
01/07/2020,- OVER-RINGS,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/07/2020,= Adjusted Sales,"11,983.88",0.0,595.43,361.60,"1,319.61",497.69,"1,427.91",576.25,"1,221.87",593.75,"1,178.17",381.42,"1,449.43",656.64,"1,179.73",544.38
01/07/2020,- Net Employee Freebies,106.44,0.0,0.00,0.00,29.30,0.00,29.99,0.00,0.00,6.39,0.00,0.00,0.00,0.00,40.76,0.00
01/07/2020,- Net Manager Freebies,96.84,0.0,9.47,11.75,20.93,0.00,21.62,0.00,0.00,0.00,0.00,0.00,0.00,11.75,11.36,9.96
01/07/2020,- Sampling,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/07/2020,- Waste,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/07/2020,- Other Promo,35.98,0.0,6.39,0.00,7.67,0.00,14.74,1.79,0.00,0.00,0.00,5.39,0.00,0.00,0.00,0.00
